year,club,titles,rank,color1,color2,titlesChar
1993,Athletic Bilbao,8,4,#ee2523,#000000, 8
1993,Real Betis,1,7,#0BB363,#000000, 1
1993,Valencia,4,5,#ee3524,#000000, 4
1994,Real Sociedad,2,6,#0067b1,#000000, 2
1994,Sevilla,1,8,#f43333,#000000, 1
1994,Atlético Madrid,8,3,#CB3524,#000000, 8
1994,Real Madrid,25,1,#FEBE10,#000000, 25
1994,Barcelona,14,2,#004c99,#000000, 14
1994,Athletic Bilbao,8,4,#ee2523,#000000, 8
1994,Real Betis,1,7,#0BB363,#000000, 1
1994,Valencia,4,5,#ee3524,#000000, 4
1995,Real Sociedad,2,6,#0067b1,#000000, 2
1995,Sevilla,1,8,#f43333,#000000, 1
1995,Atlético Madrid,8,3,#CB3524,#000000, 8
1995,Real Madrid,26,1,#FEBE10,#000000, 26
1995,Barcelona,14,2,#004c99,#000000, 14
1995,Athletic Bilbao,8,4,#ee2523,#000000, 8
1995,Real Betis,1,7,#0BB363,#000000, 1
1995,Valencia,4,5,#ee3524,#000000, 4
1996,Real Sociedad,2,6,#0067b1,#000000, 2
1996,Sevilla,1,8,#f43333,#000000, 1
1996,Atlético Madrid,9,3,#CB3524,#000000, 9
1996,Real Madrid,26,1,#FEBE10,#000000, 26
1996,Barcelona,14,2,#004c99,#000000, 14
1996,Athletic Bilbao,8,4,#ee2523,#000000, 8
1996,Real Betis,1,7,#0BB363,#000000, 1
1996,Valencia,4,5,#ee3524,#000000, 4
1997,Real Sociedad,2,6,#0067b1,#000000, 2
1997,Sevilla,1,8,#f43333,#000000, 1
1997,Atlético Madrid,9,3,#CB3524,#000000, 9
1997,Real Madrid,27,1,#FEBE10,#000000, 27
1997,Barcelona,14,2,#004c99,#000000, 14
1997,Athletic Bilbao,8,4,#ee2523,#000000, 8
1997,Real Betis,1,7,#0BB363,#000000, 1
1997,Valencia,4,5,#ee3524,#000000, 4
1998,Real Sociedad,2,6,#0067b1,#000000, 2
1998,Sevilla,1,8,#f43333,#000000, 1
1998,Atlético Madrid,9,3,#CB3524,#000000, 9
1998,Real Madrid,27,1,#FEBE10,#000000, 27
1998,Barcelona,15,2,#004c99,#000000, 15
1998,Athletic Bilbao,8,4,#ee2523,#000000, 8
1998,Real Betis,1,7,#0BB363,#000000, 1
1998,Valencia,4,5,#ee3524,#000000, 4
1999,Real Sociedad,2,6,#0067b1,#000000, 2
1999,Sevilla,1,8,#f43333,#000000, 1
1999,Atlético Madrid,9,3,#CB3524,#000000, 9
1999,Real Madrid,27,1,#FEBE10,#000000, 27
1999,Barcelona,16,2,#004c99,#000000, 16
1999,Athletic Bilbao,8,4,#ee2523,#000000, 8
1999,Real Betis,1,7,#0BB363,#000000, 1
1999,Valencia,4,5,#ee3524,#000000, 4
2000,RC Deportivo,1,9,#57175E,#000000, 1
2000,Real Sociedad,2,6,#0067b1,#000000, 2
2000,Sevilla,1,8,#f43333,#000000, 1
2000,Atlético Madrid,9,3,#CB3524,#000000, 9
2000,Real Madrid,27,1,#FEBE10,#000000, 27
2000,Barcelona,16,2,#004c99,#000000, 16
2000,Athletic Bilbao,8,4,#ee2523,#000000, 8
2000,Real Betis,1,7,#0BB363,#000000, 1
2000,Valencia,4,5,#ee3524,#000000, 4
2001,RC Deportivo,1,9,#57175E,#000000, 1
2001,Real Sociedad,2,6,#0067b1,#000000, 2
2001,Sevilla,1,8,#f43333,#000000, 1
2001,Atlético Madrid,9,3,#CB3524,#000000, 9
2001,Real Madrid,28,1,#FEBE10,#000000, 28
2001,Barcelona,16,2,#004c99,#000000, 16
2001,Athletic Bilbao,8,4,#ee2523,#000000, 8
2001,Real Betis,1,7,#0BB363,#000000, 1
2001,Valencia,4,5,#ee3524,#000000, 4
2002,RC Deportivo,1,9,#57175E,#000000, 1
2002,Real Sociedad,2,6,#0067b1,#000000, 2
2002,Sevilla,1,8,#f43333,#000000, 1
2002,Atlético Madrid,9,3,#CB3524,#000000, 9
2002,Real Madrid,28,1,#FEBE10,#000000, 28
2002,Barcelona,16,2,#004c99,#000000, 16
2002,Athletic Bilbao,8,4,#ee2523,#000000, 8
2002,Real Betis,1,7,#0BB363,#000000, 1
2002,Valencia,5,5,#ee3524,#000000, 5
2003,RC Deportivo,1,9,#57175E,#000000, 1
2003,Real Sociedad,2,6,#0067b1,#000000, 2
2003,Sevilla,1,8,#f43333,#000000, 1
2003,Atlético Madrid,9,3,#CB3524,#000000, 9
2003,Real Madrid,29,1,#FEBE10,#000000, 29
2003,Barcelona,16,2,#004c99,#000000, 16
2003,Athletic Bilbao,8,4,#ee2523,#000000, 8
2003,Real Betis,1,7,#0BB363,#000000, 1
2003,Valencia,5,5,#ee3524,#000000, 5
2004,RC Deportivo,1,9,#57175E,#000000, 1
2004,Real Sociedad,2,6,#0067b1,#000000, 2
2004,Sevilla,1,8,#f43333,#000000, 1
2004,Atlético Madrid,9,3,#CB3524,#000000, 9
2004,Real Madrid,29,1,#FEBE10,#000000, 29
2004,Barcelona,16,2,#004c99,#000000, 16
2004,Athletic Bilbao,8,4,#ee2523,#000000, 8
2004,Real Betis,1,7,#0BB363,#000000, 1
2004,Valencia,6,5,#ee3524,#000000, 6
2005,RC Deportivo,1,9,#57175E,#000000, 1
2005,Real Sociedad,2,6,#0067b1,#000000, 2
2005,Sevilla,1,8,#f43333,#000000, 1
2005,Atlético Madrid,9,3,#CB3524,#000000, 9
